OrthoRecord,Token,Normalized,Status,Comments
urn:cite:hmt:normalized.125,έτ᾽,ἔτ᾽,rejected,
urn:cite:hmt:normalized.177,έτ᾽,ἔτ᾽,rejected,
urn:cite:hmt:normalized.217,έτ᾽,ἔτ᾽,rejected,
urn:cite:hmt:normalized.269,έτ᾽,ἔτ᾽,rejected,
urn:cite:hmt:normalized.258,Η̃,Ἦ,rejected,
urn:cite:hmt:normalized.193,ῆ,ἦ,rejected,
urn:cite:hmt:normalized.427,ῆ,ἦ,rejected,
urn:cite:hmt:normalized.491,ῆ,ἦ,rejected,
urn:cite:hmt:normalized.541,ῆ,ἦ,rejected,
urn:cite:hmt:normalized.580,ῆ,ἦ,rejected,
urn:cite:hmt:normalized.660,ῆ,ἦ,rejected,
urn:cite:hmt:normalized.73,ῆ,ἦ,rejected,
urn:cite:hmt:normalized.787,ῆ,ἦ,rejected,
urn:cite:hmt:normalized.956,ῆ,ἦ,rejected,
urn:cite:hmt:normalized.479,ἠ,ἢ,rejected,
urn:cite:hmt:normalized.1477,ἠ,ἤ,rejected,
urn:cite:hmt:normalized.451,ἠ,ἤ,rejected,
urn:cite:hmt:normalized.619,ἠ,ἤ,rejected,
urn:cite:hmt:normalized.663,ἠ,ἤ,rejected,
urn:cite:hmt:normalized.259,ἠ,ἦ,rejected,
urn:cite:hmt:normalized.1166,ἡθέτει,ἠθέτει,rejected,
urn:cite:hmt:normalized.1180,ἡμεν,ἦμεν,rejected,
urn:cite:hmt:normalized.894,ἥπια,ἤπια,rejected,
urn:cite:hmt:normalized.183,Ϊρήν,Ἱρήν,rejected,
urn:cite:hmt:normalized.363,καδ,κάδ᾽,rejected,
urn:cite:hmt:normalized.1010,ὄπλων,ὅπλων,rejected,
urn:cite:hmt:normalized.279,ὄρκι᾽,ὅρκι᾽,rejected,
urn:cite:hmt:normalized.293,ὄρκι᾽,ὅρκι᾽,rejected,
urn:cite:hmt:normalized.766,ὄρκι᾽,ὅρκι᾽,rejected,
urn:cite:hmt:normalized.780,ὄρκι᾽,ὅρκι᾽,rejected,
urn:cite:hmt:normalized.23,όρκι᾽,ὅρκι᾽,rejected,
urn:cite:hmt:normalized.591,όρκι᾽,ὅρκι᾽,rejected,
urn:cite:hmt:normalized.281,όρκια,ὅρκια,rejected,
urn:cite:hmt:normalized.590,όρκια,ὅρκια,rejected,
urn:cite:hmt:normalized.653,όρκια,ὁρκία,rejected,
urn:cite:hmt:normalized.768,όρκια,ὅρκια,rejected,
urn:cite:hmt:normalized.782,όρκια,ὅρκια,rejected,
urn:cite:hmt:normalized.513,ου,οὐ,rejected,
urn:cite:hmt:normalized.603,ου,οὐ,rejected,
urn:cite:hmt:normalized.880,οὐδε,οὐδέ,rejected,
urn:cite:hmt:normalized.816,Παλαμίδῃ,Παλαμήδη,rejected,
urn:cite:hmt:normalized.395,Περι,Περί,rejected,
urn:cite:hmt:normalized.1022,προσηύδᾱ,προσηύδα,rejected,
urn:cite:hmt:normalized.270,ρ᾽,ῥ᾽,rejected,
urn:cite:hmt:normalized.1598,ρ,ῥ᾽,rejected,
urn:cite:hmt:normalized.492,ρά,ῥά,rejected,
urn:cite:hmt:normalized.1065,τα,τὰ,rejected,
urn:cite:hmt:normalized.1191,τα,τὰ,rejected,
urn:cite:hmt:normalized.1176,τα,τά,rejected,
urn:cite:hmt:normalized.884,τ᾽ε,τε,rejected,
urn:cite:hmt:normalized.49,το,τὸ,rejected,
urn:cite:hmt:normalized.524,το,τὸ,rejected,
urn:cite:hmt:normalized.609,το,τὸ,rejected,
urn:cite:hmt:normalized.1291,Τονδ`᾽,Τόνδ᾽,rejected,
urn:cite:hmt:normalized.1296,Τὸνδ`᾽,Τὸνδ᾽,rejected,
urn:cite:hmt:normalized.896,ῴ,ὤ,rejected,
urn:cite:hmt:normalized.187,ὡρμῶντ᾽,ὁρμῶντ᾽,rejected,
urn:cite:hmt:normalized.95,ὡρμῶντ᾽,ὁρμῶντ᾽,rejected,
urn:cite:hmt:normalized.250,ἀμφι,ἀμφί,rejected,
urn:cite:hmt:normalized.658,ἀμφι,ἀμφὶ,rejected,
urn:cite:hmt:normalized.789,ἀμφι,ἀμφὶ,rejected,
urn:cite:hmt:normalized.955,ἀμφι,ἀμφὶ,rejected,
urn:cite:hmt:normalized.1601,άγετ᾽,ἄγετ᾽,rejected,
urn:cite:hmt:normalized.1632,άγετ᾽,ἄγετ᾽,rejected,
urn:cite:hmt:normalized.1613,αῖψ᾽,αἶψ᾽,rejected,
urn:cite:hmt:normalized.1006,ἄλλ,ἄλλ᾽,rejected,
urn:cite:hmt:normalized.719,ἄλλ,ἄλλ᾽,rejected,
urn:cite:hmt:normalized.78,ἀλ᾽λ᾽,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.1304,ἀλ᾽λ,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.1162,ἀλλ,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.337,ἀλλ,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.370,ἀλλ,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.474,ἀλλ,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.529,ἀλλ,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.755,ἀλλ,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.839,ἀλλ,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.276,ἀλλ`᾽,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.303,ἀλλ`',ἀλλ᾽,rejected,
urn:cite:hmt:normalized.394,ἀλλ`᾽,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.763,ἀλλ`᾽,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.815,ἀλλ`᾽,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.1591,αλλ᾽,ἄλλ᾽,rejected,
urn:cite:hmt:normalized.1622,αλλ᾽,ἄλλ᾽,rejected,
urn:cite:hmt:normalized.1349,αλλ,ἀλλ᾽,rejected,
urn:cite:hmt:normalized.84,ἅμ᾽,ἅμα,rejected,
urn:cite:hmt:normalized.144,ἄναχθ᾽,ἄναχθ᾽,rejected,
urn:cite:hmt:normalized.236,ἄναχθ᾽,ἄναχθ᾽,rejected,
urn:cite:hmt:normalized.372,ἀπεφήνατ,ἀπεφήνατ᾽,rejected,
urn:cite:hmt:normalized.585,ὰρ,ἂρ᾽,rejecteed,
urn:cite:hmt:normalized.275,αῦτ᾽,αὖτ᾽,rejected,
urn:cite:hmt:normalized.548,αῦτ᾽,αὖτ᾽,rejected,
urn:cite:hmt:normalized.762,αῦτ᾽,αὖτ᾽,rejected,
urn:cite:hmt:normalized.683,ἀφ,ἀφ᾽,rejected,
urn:cite:hmt:normalized.1663,βελε,βέλε᾽,rejected,
urn:cite:hmt:normalized.32,δ,δ᾽,rejected,
urn:cite:hmt:normalized.597,δ,δ᾽,rejected,
urn:cite:hmt:normalized.1186,δι,δι᾽,rejected,
urn:cite:hmt:normalized.1076,δολὶχ,δολὶχ᾽,rejected,
urn:cite:hmt:normalized.1051,ε,ἕ᾽,rejected,
urn:cite:hmt:normalized.160,έθ᾽,ἔτ᾽,rejected,
urn:cite:hmt:normalized.484,έθορ᾽,ἔθορ᾽,rejected,
urn:cite:hmt:normalized.180,εἰπ`᾽,εἴπ᾽,rejected,
urn:cite:hmt:normalized.273,εἰπ`᾽,εἴπ᾽,rejected,
urn:cite:hmt:normalized.507,εἰθ,εἶθ᾽,rejected,
urn:cite:hmt:normalized.1327,εμ,ἐμ᾽,rejected,
urn:cite:hmt:normalized.504,εξ᾽,ἐξ,rejected,
urn:cite:hmt:normalized.138,ἔπ᾽,ἐπί,rejected,
urn:cite:hmt:normalized.230,ἔπ᾽,ἐπί,rejected,
urn:cite:hmt:normalized.1019,ἐπ,ἐπ᾽,rejected,
urn:cite:hmt:normalized.137,ἒπ᾽,ἐπί,rejected,
urn:cite:hmt:normalized.229,ἒπ᾽,ἐπί,rejected,
